file,segment,width,hits_MDM,hits_SYS,hits_COMM_ENERGY,hits_APPS,hits_JOURNAL,hits_EXT,hits_VENDORS,hits_VULN,hits_FLAME,hits_TAMPER_JP,windows
JetsamEvent-2025-06-01-130516.ips,raw,72222,1,7,4,0,4,2,0,0,2,0,4
JetsamEvent-2025-06-01-130516.ips,head,75555,0,0,0,0,2,0,0,0,0,0,2
JetsamEvent-2025-06-01-130516.ips,mid,75555,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,75555,1,4,4,0,1,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,raw,75555,1,7,4,0,4,2,0,0,2,0,4
JetsamEvent-2025-06-01-130516.ips,head,78888,0,0,0,0,2,0,0,0,0,0,2
JetsamEvent-2025-06-01-130516.ips,mid,78888,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,78888,1,4,4,0,1,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,raw,78888,1,7,4,0,4,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,head,82222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,82222,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,82222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,82222,1,7,4,0,4,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,head,85555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,85555,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,85555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,85555,1,7,4,0,4,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,head,88888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,88888,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,88888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,88888,1,7,4,0,4,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,head,92222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,92222,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,92222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,92222,1,7,4,0,4,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,head,95555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,95555,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,95555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,95555,1,7,4,0,4,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,head,98888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,98888,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,98888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,98888,1,7,4,0,4,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,head,102222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,102222,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,102222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,102222,1,7,4,0,4,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,head,105555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,105555,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,105555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,105555,1,7,4,0,4,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,head,108888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,108888,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,108888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,108888,1,7,4,0,4,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,head,112222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,112222,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,112222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,112222,1,7,4,0,4,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,head,115555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,115555,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,115555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,115555,1,7,4,0,4,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,head,118888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,118888,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,118888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,118888,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,122222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,122222,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,122222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,122222,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,125555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,125555,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,125555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,125555,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,128888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,128888,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,128888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,128888,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,132222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,132222,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,132222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,132222,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,135555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,135555,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,135555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,135555,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,138888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,138888,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,138888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,138888,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,142222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,142222,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,142222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,142222,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,145555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,145555,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,145555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,145555,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,148888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,148888,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,148888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,148888,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,152222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,152222,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,152222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,152222,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,155555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,155555,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,155555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,155555,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,158888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,158888,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,158888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,158888,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,162222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,162222,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,162222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,162222,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,165555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,165555,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,165555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,165555,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,168888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,168888,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,168888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,168888,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,172222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,172222,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,172222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,172222,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,175555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,175555,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,175555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,175555,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,178888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,178888,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,178888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,178888,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,182222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,182222,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,182222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,182222,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,185555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,185555,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,185555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,185555,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,188888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,188888,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,188888,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,188888,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,192222,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,192222,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,192222,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,192222,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,195555,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,195555,0,5,0,0,3,0,0,0,1,0,1
JetsamEvent-2025-06-01-130516.ips,tail,195555,1,4,4,0,1,2,0,0,2,0,1
JetsamEvent-2025-06-01-130516.ips,raw,195555,1,7,4,0,4,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,head,198888,0,0,0,0,2,0,0,0,0,0,1
JetsamEvent-2025-06-01-130516.ips,mid,198888,0,5,0,0,3,0,0,0,1,0,1
